method,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,champ_delta,loss_rescaled,time_train_s_rescaled,time_infer_s_rescaled,rank,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,median_champ_delta,median_loss_rescaled,median_time_train_s_rescaled,median_time_infer_s_rescaled,median_rank,rank=1_count,rank=2_count,rank=3_count,rank>3_count,elo,elo+,elo-,winrate,mrr
AutoGluon 1.3 (4h),8355.364120885437,32.82596967734543,2898.240203433117,4.500812758268476,0.3964184800785776,0.3798624104783271,0.0,0.06405976042302618,0.04134180482755777,41965.2048341603,616.5290381859439,7.911764705882353,0.20731,7964.962425470352,4.336968660354614,1453.2679445956664,3.1473262800156863,0.32589789689340676,0.3183215069681839,0.0,0.03626595030221569,0.016044582675404963,27194.492186888157,175.7696866507318,6.0,7,7,2,35,1536.4,25.3,27.0,0.8464052287581699,0.30587341820336866
REALMLP (tuned + ensemble),82067.04150357434,46.620822546528835,8632.9301863134,17.370629146496764,0.47672280218912944,0.4567672712599008,0.0,0.08281555343301224,0.05025156971796484,176783.27502952865,866.0711810995012,10.362745098039216,0.20693,31275.486653327942,20.346505880355835,6559.124623720848,8.595013673531266,0.45851528384279944,0.44949494949495294,0.0,0.041676367869615816,0.02894053041859053,137543.59089717592,754.0990720578875,8.0,3,2,5,41,1467.1,22.5,25.7,0.7919389978213508,0.19816636983173747
GBM (tuned + ensemble),3051.8140357896395,23.19597311113395,765.6312795719994,3.893554958066526,0.6007647871385442,0.5830666264006328,0.0,0.10210225704001837,0.06942879123813349,11175.64311228686,518.7842315699711,12.313725490196079,0.2094,1670.2684843540192,3.933397054672241,416.5640684155986,2.2357814013957977,0.5992049846636245,0.5963159494790328,0.0,0.058640971128188224,0.03962978925327787,9062.280137688022,129.84563236620332,12.0,0,0,5,46,1422.1,19.3,23.7,0.7485838779956427,0.11775081976251828
TABM_GPU (tuned + ensemble),36745.76943855192,8.411393100140142,5149.522818881001,3.299204733305397,0.5555492609020632,0.5392746725492363,0.0,0.08925707266030582,0.07531028429870176,79103.63593427226,131.94770411319155,12.568627450980392,0.20702,8818.62617468834,3.054008960723877,3133.9115732644937,1.2727714166408632,0.5482774967253026,0.5291691219799673,0.0,0.048678737735947,0.03776447060427699,49987.707956643724,112.26280083003438,10.0,2,0,3,46,1414.1,21.8,20.6,0.7429193899782135,0.15547305329968497
CAT (tuned + ensemble),19506.186602929058,3.204344211840162,4009.454268521621,1.0312463789689519,0.59783349589808,0.5759814625954754,0.0,0.09537653740151951,0.06613111071967163,53079.26276755286,76.04544084479011,13.441176470588236,0.20994,7158.277770042419,1.5355591773986816,1665.5315644683697,0.5594151152585728,0.5907417742804182,0.5651807794183203,0.0,0.05089401174453301,0.03218969445131825,22918.764355268395,47.71552750484114,12.0,0,0,5,46,1396.2,25.2,28.5,0.7235294117647059,0.11469293058156191
MNCA_GPU (tuned + ensemble),50606.46933756155,274.8289722134085,6200.95174646742,33.492227920869496,0.5530421173799951,0.5391434630015587,0.0,0.09855740440845037,0.08046979036839483,106030.16699977385,1982.0660894780217,14.098039215686274,0.2069,14787.927460432053,13.568246603012085,4618.502341732761,7.737494511886756,0.49725904468662846,0.48225082262402397,0.0,0.05042203805715495,0.026551744085150493,92410.46095689958,607.7040280210158,12.0,4,4,2,41,1380.3,20.3,26.8,0.7089324618736383,0.20876762077245314
CAT (tuned),19506.186602929058,0.4801775754666796,4009.454268521621,0.12298834764615349,0.6299397175520932,0.6106477125295985,0.0,0.10012496760622153,0.07127867371966598,53079.26276755286,9.224590724231657,14.53921568627451,0.2099,7158.277770042419,0.14083647727966309,1665.5315644683697,0.06528969211261772,0.669870636698718,0.6407713848970839,0.0,0.05929103903286159,0.039234174928719376,22918.764355268395,4.080719588963731,14.0,0,3,0,48,1371.7,20.9,24.5,0.6991285403050109,0.1149731810249179
XGB (tuned + ensemble),5938.998393348619,7.841493718764362,1213.0777679819278,3.1002279660820715,0.6581213909084652,0.6405067103121544,0.0,0.10785769169836001,0.07926344710092498,13936.971832341356,215.6442792684636,14.598039215686274,0.20933,2063.2708826065063,2.946662425994873,700.9607998746845,1.4386570273653,0.6580239862935582,0.6375206970948792,0.0,0.07095919513403182,0.04050001929889269,11430.712273277264,98.30128646762262,13.0,1,2,1,47,1371.4,21.0,24.7,0.6978213507625273,0.12114025728101688
GBM (tuned),3051.8140357896395,3.3178744736839745,765.6312795719994,0.6787985114862476,0.6778729131728809,0.6597814566311325,0.0,0.11132019203566362,0.08340382419978612,11175.64311228686,83.45556234970765,15.392156862745098,0.20979,1670.2684843540192,0.7316880226135254,416.5640684155986,0.3811195826851199,0.7263096089948473,0.6924009129874843,0.0,0.05983857821112848,0.04176567096628159,9062.280137688022,21.854692683376335,14.0,0,1,0,50,1352.8,23.3,24.2,0.6801742919389978,0.09472691216278616
TABM_GPU (tuned),36745.76943855192,0.9327322455013499,5149.522818881001,0.3522030333025916,0.6312039759158944,0.6169009966212448,0.0,0.09856886842647186,0.08741555091950247,79103.63593427226,14.22083187601248,15.519607843137255,0.20774,8818.62617468834,0.25295114517211914,3133.9115732644937,0.13006170213303378,0.6483290168515105,0.6368421052631651,0.0,0.04950878682353699,0.05438833715883013,49987.707956643724,9.039602142310635,14.0,0,2,4,45,1354.1,21.1,22.4,0.6773420479302832,0.11780904145735331
